City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,Tucuma,-0.1833,-50.05,24.96,91,14,3.1,BR,1691108187
102,Bayanaul,50.7889,75.6956,20.87,54,18,0.54,KZ,1691108187
103,Wyrzysk,53.153,17.268,19.0,85,12,5.64,PL,1691108187
104,Kavieng,-2.5744,150.7967,28.3,75,38,3.43,PG,1691108187
105,Kailua-Kona,19.6406,-155.9956,28.98,81,75,4.12,US,1691108188
106,Pangoa,-12.1167,-73.0,22.31,68,15,1.51,PE,1691108188
107,Ust-Nera,64.5667,143.2,18.86,41,1,2.7,RU,1691107909
108,Afaahiti,-17.75,-149.2833,26.93,75,16,4.16,PF,1691108188
109,Kurchatov,51.6601,35.6521,23.56,82,31,1.94,RU,1691108189
110,Ryotsu-Minato,38.0833,138.4333,29.93,68,1,3.3,JP,1691108189
111,Badger,64.8,-147.5333,26.66,41,40,2.57,US,1691108189
112,Satipo,-11.2522,-74.6386,25.05,54,43,0.92,PE,1691108190
113,Luau,-10.7073,22.2247,17.4,44,0,2.32,AO,1691108190
114,Minas De Marcona,-15.2119,-75.1103,12.65,82,32,3.34,PE,1691108190
115,Cabo San Lucas,22.8909,-109.9124,36.45,51,20,7.72,MX,1691108190
116,Kruisfontein,-34.0033,24.7314,16.14,40,7,5.41,ZA,1691107995
117,Castillos,-34.1667,-53.8333,9.94,61,100,1.83,UY,1691108191
118,New Norfolk,-42.7826,147.0587,13.72,74,100,1.36,AU,1691108191
119,Jorpeland,59.0225,6.0408,15.9,84,72,5.16,NO,1691108192
120,Crane,31.3974,-102.3501,36.9,24,5,6.45,US,1691108025
121,Saipan,15.1355,145.701,31.39,100,0,3.58,MP,1691108192
122,Rumbek,6.802,29.6912,21.53,96,100,1.2,SS,1691107992
123,Timimoun,29.2639,0.231,36.21,9,0,4.63,DZ,1691108193
124,Vidyayevo,69.3191,32.8049,16.74,81,31,2.06,RU,1691108193
125,Ardakan,32.31,54.0175,29.86,13,0,2.0,IR,1691108193
126,Meizhou,24.2977,116.1072,30.14,74,97,1.83,CN,1691108194
127,Uturoa,-16.7333,-151.4333,25.92,69,17,5.58,PF,1691108194
128,Hadibu,12.65,54.0333,25.86,81,100,11.18,YE,1691107937
129,Susuman,62.7833,148.1667,15.03,35,92,5.2,RU,1691108194
130,Grand Falls-Windsor,48.9332,-55.6649,15.99,71,31,1.41,CA,1691108195
131,Lebu,-37.6167,-73.65,8.34,77,4,8.32,CL,1691107925
132,Novodvinsk,64.4165,40.8122,19.06,76,88,2.46,RU,1691107967
133,Tsiombe,-25.3,45.4833,18.49,60,7,7.19,MG,1691107975
134,Dawson Creek,55.7666,-120.2362,19.8,52,75,3.6,CA,1691107942
135,Thompson,55.7435,-97.8558,23.09,56,75,1.54,CA,1691108196
136,Lakatoro,-16.0999,167.4164,21.41,93,100,3.07,VU,1691108196
137,Burutu,5.3509,5.5076,24.1,85,59,1.95,NG,1691108196
138,Bryne,58.7354,5.6477,15.81,84,100,10.29,NO,1691108196
139,Yishui,35.7847,118.6281,27.13,83,9,3.08,CN,1691108196
140,Ola,59.5833,151.2833,18.97,63,100,4.88,RU,1691108197
141,Bandar Lampung,-5.4254,105.258,23.97,92,60,0.35,ID,1691108197
142,Merrill,45.1805,-89.6835,28.87,61,75,3.6,US,1691108117
143,San Antonio De Pale,-1.4014,5.6325,22.19,77,100,4.36,GQ,1691108197
144,Yuzhno-Kurilsk,44.0306,145.8556,22.19,83,84,7.52,RU,1691108198
145,Behshahr,36.6923,53.5526,26.5,90,97,1.97,IR,1691108198
146,Kalevala,65.2,31.1667,16.8,98,100,2.32,RU,1691108198
147,Port Mathurin,-19.6833,63.4167,23.12,70,25,10.47,MU,1691108198
148,Timbuktu,16.7735,-3.0074,35.7,33,2,6.12,ML,1691108198
149,Ciurea,47.05,27.5667,24.32,70,0,3.09,RO,1691108199
150,Flying Fish Cove,-10.4217,105.6791,23.82,100,100,5.14,CX,1691108122
151,Jamestown,42.097,-79.2353,22.8,78,0,2.06,US,1691108121
152,Buala,-8.145,159.5921,27.54,82,100,2.4,SB,1691108200
153,Brisas De Zicatela,15.8369,-97.0419,30.29,54,75,0.0,MX,1691108201
154,Roma,43.2128,-75.4557,24.37,75,0,2.57,US,1691107975
155,Keflavik,64.0049,-22.5624,9.95,87,75,3.09,IS,1691107918
156,Sechura,-5.5569,-80.8222,23.74,72,4,7.91,PE,1691108201
157,Springfield,37.2153,-93.2982,35.55,60,0,2.57,US,1691108037
158,Poso,-1.3959,120.7524,28.03,66,10,2.07,ID,1691108202
159,Dunedin,-45.8742,170.5036,8.78,72,76,0.89,NZ,1691108202
160,Bowen,-20.0167,148.2333,22.24,62,2,9.28,AU,1691108202
161,Whitehorse,60.7161,-135.0538,27.79,40,40,3.09,CA,1691108202
162,Port Alfred,-33.5906,26.891,18.02,42,7,6.08,ZA,1691108203
163,Kismayo,-0.3582,42.5454,23.89,83,70,7.87,SO,1691108203
164,Taneytown,39.6579,-77.1744,23.24,85,85,6.66,US,1691108203
165,Stovring,56.8854,9.8384,15.88,91,95,5.07,DK,1691108203
166,Kuta,-8.7233,115.1723,25.0,88,40,1.54,ID,1691108204
167,El Bauga,18.262,33.9081,30.64,50,63,5.94,SD,1691108204
168,Ilulissat,69.2167,-51.1,8.01,76,20,1.54,GL,1691108204
169,Caleta De Carquin,-11.0925,-77.6267,19.11,79,10,4.65,PE,1691108204
170,Invercargill,-46.4,168.35,12.79,77,100,2.24,NZ,1691108205
171,Fuglafjordur,62.244,-6.814,8.26,82,100,8.45,FO,1691108206
172,Weno,7.4515,151.8468,28.85,75,37,3.95,FM,1691108206
173,Nizhnevartovsk,60.9344,76.5531,18.01,88,0,3.13,RU,1691108207
174,Kovalam,8.3667,76.9967,28.05,83,40,2.57,IN,1691108207
175,Quepos,9.4236,-84.1652,27.43,84,61,0.75,CR,1691108207
176,La Ronge,55.1001,-105.2842,19.14,88,75,4.12,CA,1691108207
177,Salavan,15.7167,106.4167,23.18,99,100,0.62,LA,1691108208
178,Fukuecho,32.6881,128.8419,29.2,79,20,4.12,JP,1691108208
179,Kingscliff,-28.2667,153.5667,19.97,88,75,3.6,AU,1691108208
180,Carutapera,-1.195,-46.02,25.29,86,32,3.66,BR,1691108208
181,Hilo,19.7297,-155.09,31.27,78,20,6.17,US,1691108184
182,Siwa Oasis,29.2041,25.5195,31.48,24,0,5.26,EG,1691108209
183,Chonchi,-42.6128,-73.8092,5.07,93,37,1.37,CL,1691108209
184,Newtown,-33.8984,151.1775,19.32,65,0,2.57,AU,1691108209
185,San Fernando,15.0286,120.6898,26.85,83,100,4.08,PH,1691108210
186,Kolonia,50.9333,6.95,16.01,88,75,1.54,DE,1691107911
187,Antonio Enes,-16.2325,39.9086,19.78,90,50,4.84,MZ,1691108210
188,Georgetown,5.4112,100.3354,28.96,83,20,3.13,MY,1691108210
189,Hamilton,39.1834,-84.5333,29.44,59,0,3.6,US,1691107915
190,Carnarvon,-24.8667,113.6333,14.07,63,0,8.55,AU,1691108002
191,Kisanga,-7.4362,37.7034,21.01,71,88,1.2,TZ,1691108211
192,Stanley,54.868,-1.6985,13.49,92,75,1.54,GB,1691108211
193,Isafjordur,66.0755,-23.124,10.35,74,81,0.67,IS,1691108211
194,Peace River,56.2501,-117.286,20.17,59,40,2.57,CA,1691108212
195,Al Bayda',32.7627,21.7551,23.66,53,0,2.46,LY,1691108212
196,Magdagachi,53.45,125.8,18.45,49,96,2.39,RU,1691108212
197,Jiayuguan,39.8167,98.3,25.87,25,2,2.31,CN,1691108212
198,Vila Franca Do Campo,37.7167,-25.4333,22.23,85,76,4.43,PT,1691108213
199,Malabar,-33.9667,151.25,19.31,62,0,2.57,AU,1691108213
